Crash_ID,Crash_Fatal_Fl,Cmv_Involv_Fl,Schl_Bus_Fl,Rr_Relat_Fl,Medical_Advisory_Fl,Amend_Supp_Fl,Active_School_Zone_Fl,Crash_Date,Crash_Time,Case_ID,Local_Use,Rpt_CRIS_Cnty_ID,Rpt_City_ID,Rpt_Outside_City_Limit_Fl,Thousand_Damage_Fl,Rpt_Latitude,Rpt_Longitude,Rpt_Rdwy_Sys_ID,Rpt_Hwy_Num,Rpt_Hwy_Sfx,Rpt_Road_Part_ID,Rpt_Block_Num,Rpt_Street_Pfx,Rpt_Street_Name,Rpt_Street_Sfx,Private_Dr_Fl,Toll_Road_Fl,Crash_Speed_Limit,Road_Constr_Zone_Fl,Road_Constr_Zone_Wrkr_Fl,Rpt_Street_Desc,At_Intrsct_Fl,Rpt_Sec_Rdwy_Sys_ID,Rpt_Sec_Hwy_Num,Rpt_Sec_Hwy_Sfx,Rpt_Sec_Road_Part_ID,Rpt_Sec_Block_Num,Rpt_Sec_Street_Pfx,Rpt_Sec_Street_Name,Rpt_Sec_Street_Sfx,Rpt_Ref_Mark_Offset_Amt,Rpt_Ref_Mark_Dist_Uom,Rpt_Ref_Mark_Dir,Rpt_Ref_Mark_Nbr,Rpt_Sec_Street_Desc,Rpt_CrossingNumber,Wthr_Cond_ID,Light_Cond_ID,Entr_Road_ID,Road_Type_ID,Road_Algn_ID,Surf_Cond_ID,Traffic_Cntl_ID,Investigat_Notify_Time,Investigat_Notify_Meth,Investigat_Arrv_Time,Report_Date,Investigat_Comp_Fl,ORI_Number,Investigat_Agency_ID,Investigat_Area_ID,Investigat_District_ID,Investigat_Region_ID,Bridge_Detail_ID,Harm_Evnt_ID,Intrsct_Relat_ID,FHE_Collsn_ID,Obj_Struck_ID,Othr_Factr_ID,Road_Part_Adj_ID,Road_Cls_ID,Road_Relat_ID,Phys_Featr_1_ID,Phys_Featr_2_ID,Cnty_ID,City_ID,Latitude,Longitude,Hwy_Sys,Hwy_Nbr,Hwy_Sfx,Dfo,Street_Name,Street_Nbr,Control,Section,Milepoint,Ref_Mark_Nbr,Ref_Mark_Displ,Hwy_Sys_2,Hwy_Nbr_2,Hwy_Sfx_2,Street_Name_2,Street_Nbr_2,Control_2,Section_2,Milepoint_2,Txdot_Rptable_Fl,Onsys_Fl,Rural_Fl,Crash_Sev_ID,Pop_Group_ID,Located_Fl,Day_of_Week,Hwy_Dsgn_Lane_ID,Hwy_Dsgn_Hrt_ID,Hp_Shldr_Left,Hp_Shldr_Right,Hp_Median_Width,Base_Type_ID,Nbr_Of_Lane,Row_Width_Usual,Roadbed_Width,Surf_Width,Surf_Type_ID,Curb_Type_Left_ID,Curb_Type_Right_ID,Shldr_Type_Left_ID,Shldr_Width_Left,Shldr_Use_Left_ID,Shldr_Type_Right_ID,Shldr_Width_Right,Shldr_Use_Right_ID,Median_Type_ID,Median_Width,Rural_Urban_Type_ID,Func_Sys_ID,Adt_Curnt_Amt,Adt_Curnt_Year,Adt_Adj_Curnt_Amt,Pct_Single_Trk_Adt,Pct_Combo_Trk_Adt,Trk_Aadt_Pct,Curve_Type_ID,Curve_Lngth,Cd_Degr,Delta_Left_Right_ID,Dd_Degr,Feature_Crossed,Structure_Number,I_R_Min_Vert_Clear,Approach_Width,Bridge_Median_ID,Bridge_Loading_Type_ID,Bridge_Loading_In_1000_Lbs,Bridge_Srvc_Type_On_ID,Bridge_Srvc_Type_Under_ID,Culvert_Type_ID,Roadway_Width,Deck_Width,Bridge_Dir_Of_Traffic_ID,Bridge_Rte_Struct_Func_ID,Bridge_IR_Struct_Func_ID,CrossingNumber,RRCo,Poscrossing_ID,WDCode_ID,Standstop,Yield,Incap_Injry_Cnt,Nonincap_Injry_Cnt,Poss_Injry_Cnt,Non_Injry_Cnt,Unkn_Injry_Cnt,Tot_Injry_Cnt,Death_Cnt,MPO_ID,Investigat_Service_ID,Investigat_DA_ID,Investigator_Narrative
14203299,N,Y,N,N,N,N,N,1/3/2015,5:31 PM,15-003113,CRCC/54,71,136,N,Y,,,2,62,,1,6100,,MONTANA,AVE,N,N,40,N,N,,N,19,,,,1200,,GERONIMO,ST,,,,,,,11,4,0,2,1,1,20,5:31 PM,DISPATCHED,5:42 PM,1/3/15,Y,TX0710200,1259,,,,8,2,4,22,64,36,1,2,1,21,21,71,136,31.78554984,-106.4130626,US,62,,5.654,US0062,,374,2,12.941,24,-0.177,,,,N/A,,,,,Y,Y,N,5,9,Y,SAT,3,0,0,0,24,2,6,168,64,64,4,1,1,1,0,0,1,0,0,1,24,4,14,14830,2014,14830,2.3,1.2,3.4,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,2,0,0,0,66,339,,
14205435,N,Y,N,N,N,N,N,1/2/2015,1:17 PM,15-002092,,71,136,N,Y,,,19,,,1,1900,,TONY LAMA,DR,N,N,30,N,N,BLACK TOP,Y,19,,,1,7200,,GATEWAY EAST,,,,,,BLACK TOP,,12,1,0,,1,1,8,1:21 PM,DISPATCHED,1:23 PM,1/2/15,Y,TX0710200,1259,,,,8,2,2,23,64,8,1,5,1,21,21,71,136,31.76816484,-106.3711004,,,,,TONY LAMA ST,1198,,,,,,,,,GATEWAY BLVD E,,,,,Y,N,N,5,9,Y,FRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,3,0,0,0,66,915,,
14206027,Y,Y,N,N,N,Y,N,1/1/2015,6:27 PM,15-001168,,71,136,N,Y,,,19,,,7,7600,,NORTHLOOP,,N,N,35,N,N,,N,19,,,,7800,,WEST,,,,,,,,11,4,98,2,1,1,1,6:29 PM,DISPATCHED,6:38 PM,1/20/15,Y,TX0710200,1259,,,,8,2,4,22,64,36,1,3,3,21,21,71,136,31.73839422,-106.3619017,FM,76,,2.949,FM0076,,674,1,3.047,348,-0.897,,,,N/A,,,,,Y,Y,N,4,9,Y,THU,3,0,1,5,30,2,6,141,94,72,5,1,1,2,12,5,2,5,3,1,18,4,14,16394,2014,16394,1.9,1.5,3.5,1,44,0,2,4,,,,,,,,,,,,,,,,,,,,,,0,0,1,4,0,1,1,66,915,,
14209603,N,Y,N,N,N,Y,N,1/6/2015,10:51 AM,15-006061,WSRC/48,71,136,N,Y,,,19,,,1,6300,S,DESERT,BLVD,N,N,50,N,N,,N,19,,,,7900,,ARTCRAFT,RD,,,,,,,11,1,0,2,1,1,1,10:51 AM,DISPATCHED,10:58 AM,1/13/15,Y,TX0710200,1259,,,,8,7,4,1,21,35,1,1,2,21,21,71,136,31.87601485,-106.5802096,IH,10,,8.578,IH0010,,2121,1,8.561,9,-0.413,,,,N/A,,,,,Y,Y,N,5,9,Y,TUE,5,0,4,10,61,2,4,450,78,48,4,0,0,2,14,5,2,14,5,2,47,4,11,108599,2014,108599,2.8,12.8,15.5,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,1,1,0,0,66,611,,
14209890,N,Y,N,N,N,N,N,1/6/2015,10:12 AM,15-006054,,71,136,N,Y,,,19,,,1,2400,W,PAISANO,,N,N,55,N,N,,N,19,,,,700,,EXECUTIVE,,,,,,,,11,1,0,2,4,1,11,10:14 AM,DISPATCHED,10:25 AM,1/6/15,Y,TX0710200,1259,,,,8,2,3,24,64,13,1,2,1,32,21,71,136,31.77706067,-106.5235771,US,85,,2.769,US0085,,1,4,2.792,324,-0.015,,,,N/A,,,,,Y,Y,N,5,9,Y,TUE,4,0,0,0,2,2,4,270,50,48,4,1,1,1,0,0,1,0,0,2,2,4,14,20852,2014,20852,5.2,3.8,9.1,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,2,0,0,0,66,611,,
14210094,N,Y,N,N,N,N,N,1/3/2015,5:55 PM,15-003128,MVRC/87,71,136,N,Y,,,19,,,1,9400,,LOUVRE,DR,N,N,30,N,N,RESIDENTIAL,N,19,,,,800,,BORDEAUX,DR,,,,,RESIDENTIAL,,12,3,0,,1,1,1,7:00 PM,DISPATCHED,7:10 PM,1/3/15,Y,TX0710200,1259,,,,8,4,4,1,64,3,1,5,1,21,21,71,136,31.69429485,-106.3036404,,,,,LOUVRE DR,9400,,,,,,,,,N/A,,,,,Y,N,N,5,9,Y,SAT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,1,0,0,0,66,915,,
14210104,N,Y,N,N,N,N,N,1/6/2015,4:57 PM,15-006170,MVRC/87,71,136,N,Y,,,19,,,1,9000,,GATEWAY,BLVD,N,N,45,N,N,,Y,19,,,1,1200,,ZARAGOZA,DR,,,,,,,11,1,0,2,1,1,5,5:03 PM,DISPATCHED,5:12 PM,1/6/15,Y,TX0710200,1259,,,,8,2,1,24,64,54,1,1,1,21,21,71,136,31.72051811,-106.3047867,IH,10,,32.151,IH0010,,2121,3,32.86,32,0.112,FM,659,,FM0659,,1046,1,8.669,Y,Y,N,3,9,Y,TUE,5,0,6,10,35,8,4,300,80,48,5,0,0,2,12,5,2,20,5,,23,4,11,72904,2014,72904,3.4,13.5,16.9,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,1,5,0,1,0,66,915,,
14210106,N,Y,N,N,N,Y,N,1/6/2015,3:30 PM,15-006144,,71,136,N,Y,,,17,,,7,7949,,KNIGHTS,DR,Y,N,5,N,N,PARKING LOT,N,17,,,,7949,,KNIGHTS,DR,,,,,PARKING LOT,,0,0,0,,7,0,1,3:47 PM,CALLED IN (PHONE),3:47 PM,1/13/15,Y,TX0710200,1259,,,,8,4,4,4,64,12,7,9,5,33,21,71,136,,,,,,,KNIGHTS DR,,,,,,,,,,N/A,,,,,N,N,N,5,9,N,TUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,1,0,0,0,,127,,
14211605,N,Y,N,N,N,N,N,1/6/2015,1:20 PM,15-006107,MVRC/87,71,136,N,Y,,,19,,,1,8700,,GATEWAY BLVD EAST,,N,N,50,N,N,FRONTAGE ROAD,N,19,,,,1200,,DIESEL,,,,,,,,11,1,0,2,1,1,20,1:27 PM,DISPATCHED,1:28 PM,1/6/15,Y,TX0710200,1259,,,,8,2,4,21,64,9,1,1,1,21,21,71,136,31.72587594,-106.3103412,IH,10,,31.659,IH0010,,2121,3,32.385,32,-0.38,,,,N/A,,,,,Y,Y,N,5,9,Y,TUE,5,0,22,10,54,8,5,300,113,62,5,0,1,2,31,5,2,20,5,,23,4,11,72904,2014,72904,3.4,13.5,16.9,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,2,2,0,0,66,915,,
14211805,N,Y,N,N,N,N,N,1/6/2015,6:23 PM,15-006190,PHRC/74,71,136,N,Y,,,19,,,1,9500,,GATEWAY WEST,,N,N,45,N,N,"ONE WAY, DIVIDED, UNPROTEC BARRIER",N,19,,,,,,RAY WATT,DR,,,,,"TWO-WAY, UNDIVIDED, UNPROTEC BARRIER",,12,3,0,,1,1,20,6:23 PM,DISPATCHED,6:36 PM,1/6/15,Y,TX0710200,1259,,,,8,2,3,13,64,14,1,5,1,32,21,71,136,31.76076898,-106.3578721,,,,,GATEWAY BLVD W,9672,,,,,,,,,N/A,,,,,Y,N,N,5,9,Y,TUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,4,0,0,0,66,1206,,
