STATION_NAME,DATE,PRCP,SNOW,TAVG,TMAX,TMIN,AWND,WSF2,WSF5
EL PASO INTERNATIONAL AIRPORT TX US,20140101,0,0,43,63,25,2.5,10.1,13
EL PASO INTERNATIONAL AIRPORT TX US,20140102,0,0,45,57,33,4.5,12.1,14.1
EL PASO INTERNATIONAL AIRPORT TX US,20140103,0,0,43,61,31,8.1,18.1,19.9
EL PASO INTERNATIONAL AIRPORT TX US,20140104,0,0,54,66,44,10.1,25.9,36.9
EL PASO INTERNATIONAL AIRPORT TX US,20140105,0,0,49,57,31,11.4,21.9,25.9
EL PASO INTERNATIONAL AIRPORT TX US,20140106,0,0,35,48,22,3.4,17,19.9
EL PASO INTERNATIONAL AIRPORT TX US,20140107,0,0,35,52,19,3.4,8.9,12.1
EL PASO INTERNATIONAL AIRPORT TX US,20140108,0,0,47,65,35,4.9,21,29.1
EL PASO INTERNATIONAL AIRPORT TX US,20140109,0,0,49,63,31,6.9,16.1,21
EL PASO INTERNATIONAL AIRPORT TX US,20140110,0,0,55,63,45,14.3,29.1,35.1
EL PASO INTERNATIONAL AIRPORT TX US,20140111,0,0,51,65,33,5.6,13,15
EL PASO INTERNATIONAL AIRPORT TX US,20140112,0,0,53,68,40,15.4,36,45
EL PASO INTERNATIONAL AIRPORT TX US,20140113,0,0,53,60,40,9.2,23,28
EL PASO INTERNATIONAL AIRPORT TX US,20140114,0,0,47,62,30,3.8,13,16.1
EL PASO INTERNATIONAL AIRPORT TX US,20140115,0,0,44,62,29,5.6,16.1,17
EL PASO INTERNATIONAL AIRPORT TX US,20140116,0,0,47,64,29,4.5,13,16.1
EL PASO INTERNATIONAL AIRPORT TX US,20140117,0,0,47,61,28,2.2,8.1,10.1
EL PASO INTERNATIONAL AIRPORT TX US,20140118,0,0,45,65,27,3.4,8.1,13
EL PASO INTERNATIONAL AIRPORT TX US,20140119,0,0,47,64,30,4.9,13,14.1
EL PASO INTERNATIONAL AIRPORT TX US,20140120,0,0,49,69,31,3.6,13,16.1
EL PASO INTERNATIONAL AIRPORT TX US,20140121,0,0,51,63,38,2.9,12.1,16.1
EL PASO INTERNATIONAL AIRPORT TX US,20140122,0,0,48,64,35,4.3,12.1,13
