Crash_ID,Crash_Fatal_Fl,Cmv_Involv_Fl,Schl_Bus_Fl,Rr_Relat_Fl,Medical_Advisory_Fl,Amend_Supp_Fl,Active_School_Zone_Fl,Crash_Date,Crash_Time,Case_ID,Local_Use,Rpt_CRIS_Cnty_ID,Rpt_City_ID,Rpt_Outside_City_Limit_Fl,Thousand_Damage_Fl,Rpt_Latitude,Rpt_Longitude,Rpt_Rdwy_Sys_ID,Rpt_Hwy_Num,Rpt_Hwy_Sfx,Rpt_Road_Part_ID,Rpt_Block_Num,Rpt_Street_Pfx,Rpt_Street_Name,Rpt_Street_Sfx,Private_Dr_Fl,Toll_Road_Fl,Crash_Speed_Limit,Road_Constr_Zone_Fl,Road_Constr_Zone_Wrkr_Fl,Rpt_Street_Desc,At_Intrsct_Fl,Rpt_Sec_Rdwy_Sys_ID,Rpt_Sec_Hwy_Num,Rpt_Sec_Hwy_Sfx,Rpt_Sec_Road_Part_ID,Rpt_Sec_Block_Num,Rpt_Sec_Street_Pfx,Rpt_Sec_Street_Name,Rpt_Sec_Street_Sfx,Rpt_Ref_Mark_Offset_Amt,Rpt_Ref_Mark_Dist_Uom,Rpt_Ref_Mark_Dir,Rpt_Ref_Mark_Nbr,Rpt_Sec_Street_Desc,Rpt_CrossingNumber,Wthr_Cond_ID,Light_Cond_ID,Entr_Road_ID,Road_Type_ID,Road_Algn_ID,Surf_Cond_ID,Traffic_Cntl_ID,Investigat_Notify_Time,Investigat_Notify_Meth,Investigat_Arrv_Time,Report_Date,Investigat_Comp_Fl,ORI_Number,Investigat_Agency_ID,Investigat_Area_ID,Investigat_District_ID,Investigat_Region_ID,Bridge_Detail_ID,Harm_Evnt_ID,Intrsct_Relat_ID,FHE_Collsn_ID,Obj_Struck_ID,Othr_Factr_ID,Road_Part_Adj_ID,Road_Cls_ID,Road_Relat_ID,Phys_Featr_1_ID,Phys_Featr_2_ID,Cnty_ID,City_ID,Latitude,Longitude,Hwy_Sys,Hwy_Nbr,Hwy_Sfx,Dfo,Street_Name,Street_Nbr,Control,Section,Milepoint,Ref_Mark_Nbr,Ref_Mark_Displ,Hwy_Sys_2,Hwy_Nbr_2,Hwy_Sfx_2,Street_Name_2,Street_Nbr_2,Control_2,Section_2,Milepoint_2,Txdot_Rptable_Fl,Onsys_Fl,Rural_Fl,Crash_Sev_ID,Pop_Group_ID,Located_Fl,Day_of_Week,Hwy_Dsgn_Lane_ID,Hwy_Dsgn_Hrt_ID,Hp_Shldr_Left,Hp_Shldr_Right,Hp_Median_Width,Base_Type_ID,Nbr_Of_Lane,Row_Width_Usual,Roadbed_Width,Surf_Width,Surf_Type_ID,Curb_Type_Left_ID,Curb_Type_Right_ID,Shldr_Type_Left_ID,Shldr_Width_Left,Shldr_Use_Left_ID,Shldr_Type_Right_ID,Shldr_Width_Right,Shldr_Use_Right_ID,Median_Type_ID,Median_Width,Rural_Urban_Type_ID,Func_Sys_ID,Adt_Curnt_Amt,Adt_Curnt_Year,Adt_Adj_Curnt_Amt,Pct_Single_Trk_Adt,Pct_Combo_Trk_Adt,Trk_Aadt_Pct,Curve_Type_ID,Curve_Lngth,Cd_Degr,Delta_Left_Right_ID,Dd_Degr,Feature_Crossed,Structure_Number,I_R_Min_Vert_Clear,Approach_Width,Bridge_Median_ID,Bridge_Loading_Type_ID,Bridge_Loading_In_1000_Lbs,Bridge_Srvc_Type_On_ID,Bridge_Srvc_Type_Under_ID,Culvert_Type_ID,Roadway_Width,Deck_Width,Bridge_Dir_Of_Traffic_ID,Bridge_Rte_Struct_Func_ID,Bridge_IR_Struct_Func_ID,CrossingNumber,RRCo,Poscrossing_ID,WDCode_ID,Standstop,Yield,Incap_Injry_Cnt,Nonincap_Injry_Cnt,Poss_Injry_Cnt,Non_Injry_Cnt,Unkn_Injry_Cnt,Tot_Injry_Cnt,Death_Cnt,MPO_ID,Investigat_Service_ID,Investigat_DA_ID,Investigator_Narrative
14842824,N,Y,N,N,N,N,N,1/3/2016,1:08 PM,16-003101,WSRC/41,71,136,N,Y,,,19,,,1,3300,N,MESA,ST,N,N,35,N,N,,Y,19,,,1,400,,KERN,ST,,,,,,,11,1,0,2,2,1,8,1:11 PM,DISPATCHED,1:25 PM,1/3/16,Y,TX0710200,1259,,,,8,2,2,13,64,54,1,2,1,21,21,71,136,31.78256933,-106.5053487,SH,20,,18.019,SH0020,,1,2,18.062,326,0.092,,,,KERN DR,,,,,Y,Y,N,5,9,Y,SUN,3,0,0,0,24,2,6,120,72,72,4,1,1,1,0,0,1,0,0,1,24,4,14,29400,2014,29400,5.2,3.8,9.1,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,2,0,0,0,66,611,,
14842949,N,Y,N,N,N,N,N,1/4/2016,4:17 AM,16-004018,,71,136,N,Y,,,1,10,,1,MM 5,W,NOT REPORTED,,N,N,75,N,N,ONE-WAY DIVIDED INTERSTATE,N,19,,,1,6990,N,DESERT,,,,,,TWO-WAY DIVIDED ROADWAY,,11,3,0,2,1,1,1,4:22 AM,DISPATCHED,4:28 AM,1/4/16,Y,TX0710200,1259,,,,8,9,4,1,3,3,1,1,1,21,21,71,136,31.9012248,-106.5828155,IH,10,,6.831,IH0010,,2121,1,6.813,7,-0.185,,,,N/A,,,,,Y,Y,N,5,9,Y,MON,5,0,4,10,61,2,4,350,78,48,4,0,0,2,14,5,2,14,5,2,47,4,11,55152,2014,55152,2.8,12.8,15.5,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,1,0,0,0,66,611,,
14845430,N,Y,N,N,N,N,N,1/4/2016,7:52 AM,16-004032,CRCC/55,71,136,N,Y,,,1,10,,3,3000,,RAMP D,,N,N,60,N,N,,N,1,10,,1,22.5,,INTERSTATE 10 EAST,,,,,,,,12,1,0,,5,1,1,7:54 AM,DISPATCHED,8:01 AM,1/4/16,Y,TX0710200,1259,,,,8,2,4,22,64,42,3,1,1,21,21,71,136,,,IH,10,,,IH0010,,,,,,,,,,N/A,,,,,Y,Y,N,5,9,N,MON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,4,0,0,0,,339,,
14847051,N,Y,N,N,N,Y,N,1/5/2016,11:55 AM,16-005090,,71,136,N,Y,,,19,,,1,9400,,ALAMEDA,,N,N,40,N,N,"2 WAYS, 5 LANES, MARKED",Y,19,,,2,100,N,AMERICAS,,,,,,"ONE WAY, 3 LANES",,2,1,4,3,1,1,20,11:57 AM,DISPATCHED,12:20 PM,4/1/16,Y,TX0710200,1259,,,,8,2,1,28,64,54,2,2,1,21,21,71,136,31.6802578,-106.3127594,SH,20,,33.344,SH0020,,2,2,33.41,342,-0.454,SL,375,,SL0375,,2552,3,14.661,Y,Y,N,5,9,Y,TUE,2,0,0,0,0,2,4,80,48,48,4,1,0,1,0,0,1,0,0,0,0,4,14,10130,2014,10130,1.3,1.9,3.2,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,3,0,0,0,66,515,,
14847053,N,Y,N,N,N,N,N,1/5/2016,10:45 AM,16-005150,MVRC/81,71,136,N,Y,,,17,,,7,7189-A,,MERCHANT,ST,Y,N,15,N,N,2 LANE TWO WAY ROADWAY,N,19,,,7,,,TONY LAMA,ST,,,,,,,2,1,98,,1,2,17,2:56 PM,DISPATCHED,3:13 PM,1/6/16,N,TX0710200,1259,,,,8,7,4,2,33,14,7,9,5,33,21,71,136,,,,,,,MERCHANT ST,,,,,,,,,,N/A,,,,,N,N,N,0,9,N,TUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,0,0,,915,,
14847427,N,Y,N,N,N,N,N,1/2/2016,7:09 PM,16-002117,CRCC/54,71,136,N,Y,,,1,10,,1,MM 24,W,I 10,HWY,N,N,60,N,N,,N,1,24,,1,,,NOT REPORTED,,,,,,,,11,4,0,2,1,1,1,7:40 PM,DISPATCHED,7:53 PM,1/2/16,Y,TX0710200,1259,,,,8,2,4,21,64,25,1,1,1,21,21,71,136,31.78019653,-106.4172266,IH,10,,24.049,IH0010,,2121,3,24.758,24,0.024,,,,N/A,,,,,Y,Y,N,2,9,Y,SAT,5,0,10,10,42,8,8,300,138,96,5,0,1,2,20,5,2,20,5,2,22,4,11,148528,2014,148528,3.2,4.6,7.8,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,2,0,0,3,0,66,339,,
14848306,N,Y,N,N,N,N,N,1/5/2016,11:39 AM,16-005081,WSRC/45,71,136,N,Y,,,19,,,1,7500,,REMCON,,N,N,30,N,N,,N,19,,,1,7500,N,MESA,,,,,,,,2,1,98,,1,2,1,11:42 AM,DISPATCHED,11:49 AM,1/5/16,Y,TX0710200,1259,,,,8,2,3,10,64,14,1,5,1,32,21,71,136,31.83817421,-106.5672926,,,,,REMCON CIR,,,,,,,,,,N/A,,,,,Y,N,N,5,9,Y,TUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,4,0,0,0,66,611,,
14848314,N,Y,N,N,N,N,N,1/6/2016,9:20 AM,16-006062,PHRC/76,71,136,N,Y,,,19,,,1,1300,,LOMALAND,,N,N,40,N,N,LOCAL ROAD,N,19,,,1,11100,,ROJAS,,,,,,LOCAL ROAD,,2,1,0,,1,2,5,9:26 AM,DISPATCHED,9:29 AM,1/6/16,Y,TX0710200,1259,,,,8,2,4,31,64,54,1,5,1,21,21,71,136,31.74748363,-106.3290066,,,,,LOMALAND DR,1354,,,,,,,,,N/A,,,,,Y,N,N,5,9,Y,WED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,6,0,0,0,66,1206,,
14849614,N,Y,N,N,N,N,N,1/1/2016,10:00 AM,2016-00016,,71,1635,Y,Y,,,19,,,7,1300,,HORIZON,BLVD,Y,N,15,N,N,PARKING LOT,N,19,,,1,11300,,DOY,DR,,,,,PAVED,,12,1,98,,1,1,1,10:22 AM,DISPATCHED,10:29 AM,1/1/16,Y,TX0710000,1260,,,,8,4,4,4,64,3,7,9,5,33,21,71,1635,,,,,,,HORIZON BLVD,,,,,,,,,,N/A,,,,,N,N,Y,0,0,N,FRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,0,0,,478,,
14851487,N,Y,N,N,N,N,N,1/6/2016,7:30 AM,16-006035,MVRC/82,71,136,N,Y,,,19,,,1,7400,,ALAMEDA,,N,N,30,N,N,,N,19,,,1,100,S,CAROLINA,,,,,,,,2,1,0,3,1,2,11,7:47 AM,DISPATCHED,7:59 AM,1/6/16,Y,TX0710200,1259,,,,8,2,4,21,64,9,1,2,1,21,21,71,136,31.74203606,-106.3778403,SH,20,,27.491,SH0020,7394,2,1,27.65,336,-0.356,,,,N/A,,,,,Y,Y,N,5,9,Y,WED,2,0,0,0,0,3,4,80,68,68,4,1,1,1,0,0,1,0,0,0,0,4,14,11565,2014,11565,1.9,1.5,3.5,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,2,0,0,0,66,915,,
